,text,label,word_count
634,in honor of my twin sister all these new books got donated at our local library thanks to a donator they are all animal books as my sister was an animal lover and hoped to be a vet someday im so happy ,0,42
220,finally removed some people that made me deeply unhappy from all of my social media little bit scary as they used to be my friends but i am happy that they can not make me sad anymore,0,37
426,couldnt be more excited im in the second year and final semester of my masters program and today we had our comprehensive exams which dictates if we receive our degrees or not i killed that test today and i will be walking in april im first gen too and got the degree on a full ride,0,56
428,in i had no idea i would meet my forever teammate while playing halo reach on december i married the love of my life at the happiest place on earth dreams do come true halospotlight,0,35
72,it is hard to explain but sometimes when i am feeling really bad it feels like my body is slightly vibrating it only happens if i have been at a bad low for a really long time and i have been really inactive probably laying in bed bc my body is aching so bad anyone else experience this or am i alone in this,1,64
437,i have been down for a long time lately and today all of a sudden it is just flipped felt like sharing it with everyone hope this happens to others going through tough times too cheers,0,36
181,a lot of my fear of intimacy and relationships comes from my trauma warped perception that relationships are supposed to mirror my abuse as a child for years i correlated being in a relationship with having no autonomy over myself my thoughts needs and feelings do not matter and that i am completely powerless but yesterday i realized that i have these beliefs because my brain had equated the abuse i faced as a child to what being in a relationship will be like as a kid i remember having this deep feeling of dread at the thought of ever being in a relationship because i thought any kind of romantic relationship in the future would just mean a continuation of what was happening to me at the time and meant that i would lose ownership over myself again and be completely powerless,1,143
131,i have been told by several different sources that sometimes my eyes look dull or lifeless i was facetiming with my boyfriend and i could not help but notice it the whole time they look dark and lack emotion even though my facial expressions do the opposite meanwhile his eyes which are a darker color than mine looked like they were shining and i could see how much he adores me just by looking at them and now i am worried he thinks i hate him or something bc eyes are so telling they are what we look at to know what someone is feeling,1,105
231,how intertwined are these two conditions i am under the impression that low self esteem fuels depression but i want to know the specifics of how they affect each other my low self esteem makes up my entire personality and affects every waking thought and decision,1,46
277,i celebrated my wifes birthday and two years of sobriety by dumping a whole bottle of bubble bath in a spa tub childhood fantasy ,0,24
604,my family and i decided to postpone thanksgiving this year so that we could all eat together as a family i told my parents that i would like to do it so that they could kick back and relax they agreed skip forward to today and i wake up at am to start cooking the foodonly to find out that the food has already been cooked by my parents i was immediately frustrated i felt a bit betrayed i know how to do this stuff yet they seemingly do not trust me with it i held my tongue started making the pumpkin pie yet minutes into it is baking time the crust burns i lost it i know i should not have and i know that it is literally a crust but i could not stand it,1,137
281,this man had to do double shifts just to be able to buy her daughter a new dress he is a true father and a role model to not only his daughter but to all hardworking single parents out there he deserves our love,0,44
249,i am not sure if this belongs here but i did a bit of rearranging the knick knacks and decorations in my room the other day and it makes me happy ,0,31
81,i asked out my online crush to be my valentine and they said yes ,0,14
549,my fianc and i took our engagement photos this weekend and we could not be happier with the results,0,19
247,overcame the big sad again i can say i am happy and proud of myself for pushing on no matter how hopeless it seemed better and brighter days are indeed ahead of us plus i can see clearly now got prescribed to wear glasses already what do you think ,0,49
362,we do not have to agree or get along at all i have my view points and my term of reference i like to use and you guys have yours i have had my fill of certain users constantly getting at me in the comments if you do not like me or agree with my goals fine whatever whether i am winning or losing in life in life i can do it with or without you as a sufferer of ptsd the one thing i had to learn was whether or not to engage some people love to be miserable and dictate to others some people do not but enough is enough i am done and i am moving on from any discussion over my ambitions,1,126
563,i have been the hospital twice in the past months and i really do not want to go back but i guess i also do not want to die i am just really afraid of being labeled as someone who seeks attention i tend to hide my thoughts because i have them so frequently how do i tell if i am serious or not because i keep trying to kill myself but i do not tend to get very far,1,80
69,i get them so bad i have to sit in my car and shake until they slow down so i can drive its such a weird sensation and i just wonder if any one else gets those,1,37
