,text,label,word_count
634,in honor of my twin sister all these new book got donated at our local library thanks to a donator they are all animal book a my sister wa an animal lover and hoped to be a vet someday im so happy,0,42
220,finally removed some people that made me deeply unhappy from all of my social medium little bit scary a they used to be my friend but i am happy that they can not make me sad anymore,0,37
426,couldnt be more excited im in the second year and final semester of my master program and today we had our comprehensive exam which dictate if we receive our degree or not i killed that test today and i will be walking in april im first gen too and got the degree on a full ride,0,56
428,in i had no idea i would meet my forever teammate while playing halo reach on december i married the love of my life at the happiest place on earth dream do come true halospotlight,0,35
72,it is hard to explain but sometimes when i am feeling really bad it feel like my body is slightly vibrating it only happens if i have been at a bad low for a really long time and i have been really inactive probably laying in bed bc my body is aching so bad anyone else experience this or am i alone in this,1,64
437,i have been down for a long time lately and today all of a sudden it is just flipped felt like sharing it with everyone hope this happens to others going through tough time too cheer,0,36
181,a lot of my fear of intimacy and relationship come from my trauma warped perception that relationship are supposed to mirror my abuse a a child for year i correlated being in a relationship with having no autonomy over myself my thought need and feeling do not matter and that i am completely powerless but yesterday i realized that i have these belief because my brain had equated the abuse i faced a a child to what being in a relationship will be like a a kid i remember having this deep feeling of dread at the thought of ever being in a relationship because i thought any kind of romantic relationship in the future would just mean a continuation of what wa happening to me at the time and meant that i would lose ownership over myself again and be completely powerless,1,143
131,i have been told by several different source that sometimes my eye look dull or lifeless i wa facetiming with my boyfriend and i could not help but notice it the whole time they look dark and lack emotion even though my facial expression do the opposite meanwhile his eye which are a darker color than mine looked like they were shining and i could see how much he adores me just by looking at them and now i am worried he think i hate him or something bc eye are so telling they are what we look at to know what someone is feeling,1,105
231,how intertwined are these two condition i am under the impression that low self esteem fuel depression but i want to know the specific of how they affect each other my low self esteem make up my entire personality and affect every waking thought and decision,1,46
277,i celebrated my wife birthday and two year of sobriety by dumping a whole bottle of bubble bath in a spa tub childhood fantasy,0,24
