,text,label,word_count
634,in honor of my twin sister all these new book got donat at our local librari thank to a donat they are all anim book as my sister wa an anim lover and hope to be a vet someday im so happi,0,42
220,final remov some peopl that made me deepli unhappi from all of my social media littl bit scari as they use to be my friend but i am happi that they can not make me sad anymor,0,37
426,couldnt be more excit im in the second year and final semest of my master program and today we had our comprehens exam which dictat if we receiv our degre or not i kill that test today and i will be walk in april im first gen too and got the degre on a full ride,0,56
428,in i had no idea i would meet my forev teammat while play halo reach on decemb i marri the love of my life at the happiest place on earth dream do come true halospotlight,0,35
72,it is hard to explain but sometim when i am feel realli bad it feel like my bodi is slightli vibrat it onli happen if i have been at a bad low for a realli long time and i have been realli inact probabl lay in bed bc my bodi is ach so bad anyon els experi thi or am i alon in thi,1,64
437,i have been down for a long time late and today all of a sudden it is just flip felt like share it with everyon hope thi happen to other go through tough time too cheer,0,36
181,a lot of my fear of intimaci and relationship come from my trauma warp percept that relationship are suppos to mirror my abus as a child for year i correl be in a relationship with have no autonomi over myself my thought need and feel do not matter and that i am complet powerless but yesterday i realiz that i have these belief becaus my brain had equat the abus i face as a child to what be in a relationship will be like as a kid i rememb have thi deep feel of dread at the thought of ever be in a relationship becaus i thought ani kind of romant relationship in the futur would just mean a continu of what wa happen to me at the time and meant that i would lose ownership over myself again and be complet powerless,1,143
131,i have been told by sever differ sourc that sometim my eye look dull or lifeless i wa facetim with my boyfriend and i could not help but notic it the whole time they look dark and lack emot even though my facial express do the opposit meanwhil hi eye which are a darker color than mine look like they were shine and i could see how much he ador me just by look at them and now i am worri he think i hate him or someth bc eye are so tell they are what we look at to know what someon is feel,1,105
231,how intertwin are these two condit i am under the impress that low self esteem fuel depress but i want to know the specif of how they affect each other my low self esteem make up my entir person and affect everi wake thought and decis,1,46
277,i celebr my wife birthday and two year of sobrieti by dump a whole bottl of bubbl bath in a spa tub childhood fantasi,0,24
604,my famili and i decid to postpon thanksgiv thi year so that we could all eat togeth as a famili i told my parent that i would like to do it so that they could kick back and relax they agre skip forward to today and i wake up at am to start cook the foodonli to find out that the food ha alreadi been cook by my parent i wa immedi frustrat i felt a bit betray i know how to do thi stuff yet they seemingli do not trust me with it i held my tongu start make the pumpkin pie yet minut into it is bake time the crust burn i lost it i know i should not have and i know that it is liter a crust but i could not stand it,1,137
281,thi man had to do doubl shift just to be abl to buy her daughter a new dress he is a true father and a role model to not onli hi daughter but to all hardwork singl parent out there he deserv our love,0,44
249,i am not sure if thi belong here but i did a bit of rearrang the knick knack and decor in my room the other day and it make me happi,0,31
81,i ask out my onlin crush to be my valentin and they said ye,0,14
549,my fianc and i took our engag photo thi weekend and we could not be happier with the result,0,19
247,overcam the big sad again i can say i am happi and proud of myself for push on no matter how hopeless it seem better and brighter day are inde ahead of us plu i can see clearli now got prescrib to wear glass alreadi what do you think,0,49
362,we do not have to agre or get along at all i have my view point and my term of refer i like to use and you guy have your i have had my fill of certain user constantli get at me in the comment if you do not like me or agre with my goal fine whatev whether i am win or lose in life in life i can do it with or without you as a suffer of ptsd the one thing i had to learn wa whether or not to engag some peopl love to be miser and dictat to other some peopl do not but enough is enough i am done and i am move on from ani discuss over my ambit,1,126
563,i have been the hospit twice in the past month and i realli do not want to go back but i guess i also do not want to die i am just realli afraid of be label as someon who seek attent i tend to hide my thought becaus i have them so frequent how do i tell if i am seriou or not becaus i keep tri to kill myself but i do not tend to get veri far,1,80
69,i get them so bad i have to sit in my car and shake until they slow down so i can drive it such a weird sensat and i just wonder if ani one els get those,1,37
10,i thought i would hit my limit a few month ago when i tri to kill myself but compar to now those time seem like heaven i just can not live anymor you can alway say it will get better do not give up you are stronger than thi that is all bullshit i am not strong if i wa strong i would not have cover my whole bodi in self harm in the space of less than a year i would not have tri to kill myself i would not be such a failur i have a psychologist a psychiatrist i am on med my mum support i still feel the way i do i am weak i am so weak and useless i had a horribl cut incid last night i carv failur into my thigh then cut like mad from my thigh all the way up my hip i cut at least time and i am plan someth similar tonight i am so scare i know what i can do to myself and i am scare becaus i know i will do it i do not deserv to feel thi way,1,194
340,i have sever anxieti and it blew up into realli bad agoraphobia in the past year and a half i spend of my time confin in my room and with bare ani social interact i do not work and am on disabl i have had dpdr a few time befor when my panic attack get realli bad but late i think it differ like a smell or a tv show or someth from a memori of my past will trigger the disconnect feel and like i am back in that memori the memori is not even particular traumat i sometim will watch tv or a movi and i feel like i am the charact and then i start panick and then that trigger the dpdr i feel like i am gonna go crazi i am scare what is thi it it caus from my mind be idl and liter do noth but watch netflix hour a day my panic attack are ruthless becaus i do not feel like myself at all,1,171
63,for me it been sinc i wa im now it kind of scare me they do work immens though,1,19
341,my mom and dad enter a year marriag with a toast from my opa although they separ they alway made their relationship work on my behalf they stay close friend until my mom untim pass three year after the photo on the right wa taken i wa their most cherish creation,0,51
54,for exampl my first time ever self harm that i can rememb wa in mid i did not even consid it self harm at the time but i threw myself off my bike go at speed down an inclin i end up scar my ankl knee hand and elbow as well as sprain my ankl ha anyon els self harm in a way that nobodi ever realli mention when it come to self harm yet would technic be consid self harm,1,81
