,text,label
2,my long distance boyfriend sent me flower for no particular reason other than that he love me i know it cliche but it make me so happy,0
6,military son brings his single father to tear with the most heartwarming homecoming surprise,0
7,this wa yesterday sunrise isnt it beautiful i love when the sun rise,0
10,i thought i would hit my limit a few month ago when i tried to kill myself but compared to now those time seemed like heaven i just can not live anymore you can always say it will get better do not give up you are stronger than this that is all bullshit i am not strong if i wa strong i would not have covered my whole body in self harm in the space of le than a year i would not have tried to kill myself i would not be such a failure i have a psychologist a psychiatrist i am on med my mum supportive i still feel the way i do i am weak i am so weak and useless i had a horrible cutting incident last night i carved failure into my thigh then cut like mad from my thigh all the way up my hip i cut at least time and i am planning something similar tonight i am so scared i know what i can do to myself and i am scared because i know i will do it i do not deserve to feel this way,1
11,can you force yourself to have anxiety just because you do not want to admit that you like the thought also can you have ocd thought without anxiety and doe that mean that they are not ocd thought and are actually your thought,1
23,im completely done i really can take this anymore im just going to let my depression and anxiety consume me completely im not going to kill myself im just done trying,1
24,year ago today one of these ball of cell came out a a fullyformed person and hasnt stopped costing me money since,0
29,cat wa laying on my computer chair in my room i wa in my bed cry and upset she wake up meow a couple time and jumped up on my bed and is currently laying on my leg,1
30,ever since developing ptsd i have found that the list of movie and tv show i can not watch just get longer and longer i have never been into horror or anything anyways but i did used to watch some fairly intense and suspenseful show and i can not do that anymore at least right now,1
31,we ended up going to different school and when she moved we just lost touchthis wa before the day of email and cell phone for everyone lol anyway i saw her and it made me insanely happy to see her and her friendly smile we exchanged number email work number address everything and i am never losing her again,0
39,i just ordered myself an adorable little buildabear for valentine day after many year of selfhatred i am finally learning to love myself again a valentine day approach i want to remind everyone that you are so very loved we do not have to have a romantic partner to feel the love on this holiday i hope that this valentine day we can all prioritize our self care and show ourselves some love i love you all so much have a wonderful day,0
41,another one of our wedding day march,0
42,my brother and his fianc have announced that they are expecting i am so excited,0
43,what can i do to make up for a friend after a have been an asshole it is her birthday in a few day pleease heelp mee i want to give her a gift btw,1
44,year after dropping out of college and feeling like there is no point in life i finally published my first childrens book,0
49,my depression ha gotten really bad the past year so much so last week i lost my job i couldnt concentrate couldnt remember thing ive never been able to stay organized made mistake got totally overwhelmed got behind got fired sigh also lost my insurance so im weening off the effexor ive been on because i cant get it anymore suffice to say thing are not gong well now im in the awful position of having to look for a job with depression firing on all cylinder anything i would want to do office work having a computer acheat nice coworkers im too stupid to do a evidenced by my last two failed attempt and the other option stuff like factory work make me miserable ive done it before constant overtime weird schedule macho coworkers i hate it so much,1
54,for example my first time ever self harming that i can remember wa in mid i did not even consider it self harm at the time but i threw myself off my bike going at speed down an incline i ended up scarring my ankle knee hand and elbow a well a spraining my ankle ha anyone else self harmed in a way that nobody ever really mention when it come to self harm yet would technically be considered self harm,1
55,i feel horrible i can not feel my leg and i just feel really angry and anxious and like there is a bee hive in my chest i already took my med but it ha not done anything,1
56,we met a year and a half ago at college i worked hour day for month to afford a trip to russia to see her again now we are engaged with every trip planned until i bring her home,0
60,my depression ha always involved a lot of self blame guilt and self hatred a well a anger and emptiness i would always take it out on myself first by throwing myself off my bike once when riding down a hill then cutting myself which eventually stemmed into burning scratching and punching wall but recently i have been getting extreme anger towards the people who have hurt me in my past and especially my old school where a lot of very bad event happened to me i am having urge to sneak in one day school is out where i live currently and start smashing window and breaking computer and just destroying anything i can find in that shithole,1
63,for me it been since i wa im now it kind of scare me they do work immensely though,1
65,am the only one allowed to wear a cap at work it is a special treatment,0
66,a promised for ugfypxdez a picture of my three frog bippy bappy and beepy i got beepy last night the other two frog are already welcoming her into the family,0
69,i get them so bad i have to sit in my car and shake until they slow down so i can drive it such a weird sensation and i just wonder if any one else get those,1
70,i have not been through enough to be a fucked up a i am i can not function i have gotta change school because i am just not going to school ever currently i have no motivation to do anything i just lie in bed all day wasting away and i am only i have covered my body in self harm cut burn and scar i have attempted suicide i feel so emotionally unstable all the time one minute i am extremely depressed then i will get extremely angry at the smallest of thing then i will go manic without warning and thatll keep happening over and over again i am just a huge disappointment my parent are still together happy my mum try to support me a much a she can my dad doe not really understand how i work so he doe not help me much but i live in a house i have food we might not have all the money we could ever want but we have enough to get by,1
72,it is hard to explain but sometimes when i am feeling really bad it feel like my body is slightly vibrating it only happens if i have been at a bad low for a really long time and i have been really inactive probably laying in bed bc my body is aching so bad anyone else experience this or am i alone in this,1
73,after month of family drama two of my aunt came down to visit my fiance and i to take me dress shopping they wanted to make sure that through the negativity i still have a wonderful wedding process they caught this moment during brunch how lucky i am to be so loved,0
76,my kid and i love a good fart joke and unknowingly we stumbled on this korean childrens song her laugh is the best,0
77,hey guy so i do not post here often but i suffer from adhd depression and anxiety so long story short i wa diagnosed around october although i should have been diagnosed a long while ago so the first thing i went in for wa adhd it took me this long to go in for this i am a sophomore in high school mainly because although i could not pay attention i wa smart enough to do well if that make sense and the main reason i actually did work wa because of anxiety especially with my parent being teacher but a i got older starting around middle school the material wa getting harder so i had to pay attention to do a well a i normally did and then i hit my lowest low in high school particularly this year,1
78,both of my girl enjoying a snooze moment like this make me appreciate the journey to get here,0
79,op had to help the kid create an ig account,0
81,i asked out my online crush to be my valentine and they said yes,0
