,text,label
2,my long distance boyfriend sent me flowers for no particular reason other than that he loves me i know its cliche but it makes me so happy,0
6,military son brings his single father to tears with the most heartwarming homecoming surprise ,0
7,this was yesterdays sunrise isnt it beautiful i love when the sun rises,0
10,i thought i would hit my limit a few months ago when i tried to kill myself but compared to now those times seemed like heaven i just can not live anymore you can always say it will get better do not give up you are stronger than this that is all bullshit i am not strong if i was strong i would not have covered my whole body in self harm in the space of less than a year i would not have tried to kill myself i would not be such a failure i have a psychologist a psychiatrist i am on meds my mums supportive i still feel the way i do i am weak i am so weak and useless i had a horrible cutting incident last night i carved failure into my thigh then cut like mad from my thigh all the way up my hip i cut at least times and i am planning something similar tonight i am so scared i know what i can do to myself and i am scared because i know i will do it i do not deserve to feel this way,1
11,can you force yourself to have anxiety just because you do not want to admit that you like the thoughts also can you have ocd thoughts without anxiety and does that mean that they are not ocd thoughts and are actually your thoughts ,1
23,im completely done i really can take this anymore im just going to let my depression and anxiety consume me completely im not going to kill myself im just done trying,1
24, years ago today one of these balls of cells came out as a fullyformed person and hasnt stopped costing me money since,0
29,cat was laying on my computer chair in my room i was in my bed crying and upset she wakes up meows a couple times and jumped up on my bed and is currently laying on my legs,1
30,ever since developing ptsd i have found that the list of movies and tv shows i can not watch just gets longer and longer i have never been into horror or anything anyways but i did used to watch some fairly intense and suspenseful shows and i can not do that anymore at least right now,1
31,we ended up going to different schools and when she moved we just lost touchthis was before the days of email and cell phones for everyone lol anyway i saw her and it made me insanely happy to see her and her friendly smile we exchanged numbers emails work numbers addresses everything and i am never losing her again,0
39,i just ordered myself an adorable little buildabear for valentines day after many years of selfhatred i am finally learning to love myself again as valentines day approaches i want to remind everyone that you are so very loved we do not have to have a romantic partner to feel the love on this holiday i hope that this valentines day we can all prioritize our self care and show ourselves some love i love you all so much have a wonderful day,0
41,another one of our wedding day march ,0
42,my brother and his fianc have announced that they are expecting i am so excited,0
43,what can i do to make up for a friend after a have been an asshole it is her birthday in a few days pleease heelp mee i want to give her a gift btw,1
44, years after dropping out of college and feeling like there is no point in life i finally published my first childrens book,0
49,my depression has gotten really bad the past year so much so last week i lost my job i couldnt concentrate couldnt remember things ive never been able to stay organized made mistakes got totally overwhelmed got behind got fired sigh also lost my insurance so im weening off the effexor ive been on because i cant get it anymore suffice to say things are not gong well now im in the awful position of having to look for a job with depression firing on all cylinders anything i would want to do office work having a computer acheat nice coworkers im too stupid to do as evidenced by my last two failed attempts and the other option stuff like factory work makes me miserable ive done it before constant overtime weird schedules macho coworkers i hate it so much,1
54,for example my first time ever self harming that i can remember was in mid i did not even consider it self harm at the time but i threw myself off my bike going at speed down an incline i ended up scarring my ankles knees hand and elbows as well as spraining my ankle has anyone else self harmed in a way that nobody ever really mentions when it comes to self harm yet would technically be considered self harm,1
55,i feel horrible i can not feel my legs and i just feel really angry and anxious and like there is a bee hive in my chest i already took my meds but it has not done anything,1
56,we met a year and a half ago at college i worked hour days for months to afford a trip to russia to see her again now we are engaged with every trip planned until i bring her home,0
60,my depression has always involved a lot of self blame guilt and self hatred as well as anger and emptiness i would always take it out on myself first by throwing myself off my bike once when riding down a hill then cutting myself which eventually stemmed into burning scratching and punching walls but recently i have been getting extreme anger towards the people who have hurt me in my past and especially my old school where a lot of very bad events happened to me i am having urges to sneak in one day school is out where i live currently and start smashing windows and breaking computers and just destroying anything i can find in that shithole,1
63,for me its been since i was im now it kind of scares me they do work immensely though,1
65,am the only one allowed to wear a cap at work it is a special treatment ,0
66,as promised for ugfypxdez a picture of my three frogs bippy bappy and beepy i got beepy last night the other two frogs are already welcoming her into the family,0
69,i get them so bad i have to sit in my car and shake until they slow down so i can drive its such a weird sensation and i just wonder if any one else gets those,1
70,i have not been through enough to be as fucked up as i am i can not function i have gotta change schools because i am just not going to school ever currently i have no motivation to do anything i just lie in bed all day wasting away and i am only i have covered my body in self harm cuts burns and scars i have attempted suicide i feel so emotionally unstable all the time one minute i am extremely depressed then i will get extremely angry at the smallest of things then i will go manic without warning and thatll keep happening over and over again i am just a huge disappointment my parents are still together happy my mum tries to support me as much as she can my dad does not really understand how i work so he does not help me much but i live in a house i have food we might not have all the money we could ever want but we have enough to get by,1
72,it is hard to explain but sometimes when i am feeling really bad it feels like my body is slightly vibrating it only happens if i have been at a bad low for a really long time and i have been really inactive probably laying in bed bc my body is aching so bad anyone else experience this or am i alone in this,1
73,after months of family drama two of my aunts came down to visit my fiance and i to take me dress shopping they wanted to make sure that through the negativity i still have a wonderful wedding process they caught this moment during brunch how lucky i am to be so loved,0
76,my kid and i love a good fart joke and unknowingly we stumbled on this korean childrens song her laugh is the best,0
77,hey guys so i do not post here often but i suffer from adhd depression and anxiety so long story short i was diagnosed around october although i should have been diagnosed a long while ago so the first thing i went in for was adhd it took me this long to go in for this i am a sophomore in high school mainly because although i could not pay attention i was smart enough to do well if that makes sense and the main reason i actually did work was because of anxiety especially with my parents being teachers but as i got older starting around middle school the material was getting harder so i had to pay attention to do as well as i normally did and then i hit my lowest lows in high school particularly this year,1
78,both of my girls enjoying a snooze moments like this make me appreciate the journey to get here,0
79,op had to help the kid create an ig account,0
81,i asked out my online crush to be my valentine and they said yes ,0
82,i am kinda in a mood to tell this story and feel free to put your first cutting deep incident in the comments my first time was in june last year i was cutting a lot at the time although i did not even find it an issue it was just something i did i was cutting my shoulder a lot at the time and i got home from school went into my room grabbed my blade and got to work now this was a blade from a shaving razor i had taken apart it was the sharpest blade in the razor i did not know this at the time so i put the blade to my shoulder and cut i immediately panicked the cut was gaping open and i could see a bit of weird yellow bubbly stuff in it which i later learnt was fat the cut was bleeding a ton so i was trying to stop the bleeding with about a million tissues i knew i needed stitches but i was not about to tell anyone what i had done after about half an hour my mum came into my room to remind me that i had a tutoring lesson and we had to leave i freaked the fuck out my shoulder was still gaping open although the bleeding had slowed down,1
83,depression was barely even on my radar i knew it existed but i did not think it was common or that i would ever deal with it i do not even know what i thought depression was i might have just thought oh you are just sad a lot now i know how wrong i was,1
86,when you are happy what youre doing youll never work a day in your life,0
90,i put a refill in on monday its thursday and im fucked up getting zero sleep he wont be back until monday help how do you cope with the nightmares without meds im so scared the on call doctor wont fill them,1
101,i cant be intimate i am too scared insecure ashamed guilty i try to be but then i just leave i cant feel it the way i am supposed to i just feel so so so much shame i dont ever want to have sex its just so scary i love my spouse and its ruining what is otherwise a perfect marriage im in emdr therapy but god i want to be aroused so fucking bad i was able to be so in the past when we first started dating but ever since hes been my provider i cant stop being scared i dont know what to do,1
104,i was talking to one of my friends the other week and he mentioned a girl in his year at his school who is just covered with self harm scars all over both her wrists both her forearms upper arms thighs legs ankles stomach just completely covered in them this got me thinking that every school statistically will have at least one kid covered in self harm and i realised i am that kid i am not completely covered in scars but my ankles are scarred pretty badly my arm which is probably where most people look is covered in cuts scars and burns i do not even hide it anymore because it is so hot i am talking like where i physically cannot wear long sleeves without passing out and i am that kid who people will stare at when he is walking to class they might whisper to their friends about my arm the teachers will see my arm and just assume that i am just another emo i do not even do anything in class because i am so depressed that i just do not have the energy to work so i must just look like a massive poser i am always on the lookout for others with scars like mine but there is nobody with them,1
